Date,Open,High,Low,Close,Volume,Adj Close
2016-07-11,25.26,25.35,25.002001,25.32,190400,25.32
2016-07-08,24.959999,25.152,24.855,25.15,89100,25.15
2016-07-07,25.139999,25.139999,24.639999,24.719999,288800,24.719999
2016-07-06,25.110001,25.110001,24.85,25.00,91100,25.00
2016-07-05,24.93,25.10,24.85,25.10,571800,25.10
2016-07-01,24.950001,25.040001,24.809999,24.85,73000,24.85
2016-06-30,24.75,24.860001,24.493999,24.860001,102200,24.860001
2016-06-29,24.389999,24.639999,24.379999,24.629999,182600,24.629999
2016-06-28,23.93,24.263,23.884001,24.24,59500,24.24
2016-06-27,23.799999,23.799999,23.440001,23.76,58100,23.76
2016-06-24,23.709999,24.08,23.549999,23.83,51600,23.83
2016-06-23,24.059999,24.120001,24.011999,24.10,29900,24.10
2016-06-22,24.08,24.08,23.92,23.959999,31100,23.959999
2016-06-21,23.959999,24.09,23.889999,24.00,47500,24.00
2016-06-20,24.01,24.15,23.84,23.860001,31500,23.860001
2016-06-17,24.280001,24.280001,23.690001,23.826,29500,23.826
2016-06-16,23.91,24.10,23.82,24.10,42500,23.907
2016-06-15,23.84,24.08,23.84,23.968,121600,23.776057
2016-06-14,23.85,23.889,23.690001,23.77,45600,23.579643
2016-06-13,23.92,24.07,23.870001,23.889999,51500,23.698681
2016-06-10,24.02,24.030001,23.85,23.940001,52900,23.748282
2016-06-09,23.889999,24.059999,23.889999,24.01,45400,23.817721
2016-06-08,24.129999,24.129999,23.799999,23.992001,32300,23.799865
2016-06-07,23.75,23.93,23.75,23.854,47900,23.66297
2016-06-06,23.940001,23.940001,23.614,23.700001,32900,23.510204
2016-06-03,23.82,23.926001,23.75,23.84,53900,23.649082
2016-06-02,23.709999,23.76,23.540001,23.73,33900,23.539963
2016-06-01,23.610001,23.67,23.51,23.66,1904600,23.470523
2016-05-31,23.98,23.98,23.514999,23.610001,68300,23.420925
2016-05-27,23.91,23.91,23.540001,23.610001,47800,23.420925
2016-05-26,23.51,23.60,23.41,23.559999,27500,23.371324
2016-05-25,23.870001,23.870001,23.25,23.469999,41500,23.282044
2016-05-24,23.35,23.459999,23.290001,23.445,26100,23.257245
2016-05-23,23.129999,23.26,23.110001,23.190001,43200,23.004288
2016-05-20,23.01,23.200001,22.98,23.09,14000,22.905088
2016-05-19,23.049999,23.049999,22.851,22.945,41500,22.761249
2016-05-18,23.49,23.49,22.969999,23.23,38300,23.043967
2016-05-17,24.27,24.27,23.43,23.530001,37300,23.341565
2016-05-16,23.709999,23.99,23.709999,23.93,87600,23.738362
2016-05-13,23.90,23.90,23.65,23.684999,56900,23.495323
2016-05-12,23.790001,23.979,23.66,23.92,26400,23.728442
2016-05-11,24.219999,24.239,23.731001,23.790001,35100,23.599483
2016-05-10,24.42,24.42,24.15,24.25,59800,24.055799
2016-05-09,24.030001,24.24,24.030001,24.23,53200,24.035958
2016-05-06,23.75,23.99,23.66,23.99,38600,23.797881
2016-05-05,23.719999,23.809999,23.639999,23.780001,33000,23.589563
2016-05-04,23.35,23.75,23.34,23.719999,26000,23.530042
2016-05-03,23.459999,23.459999,23.219999,23.360001,33300,23.172927
2016-05-02,23.309999,23.462,23.253,23.42,26600,23.232446
2016-04-29,23.26,23.26,22.91,23.075001,19600,22.890209
2016-04-28,23.309999,23.450001,23.240999,23.299999,44400,23.113406
2016-04-27,23.280001,23.40,23.16,23.360001,22500,23.172927
2016-04-26,23.34,23.440001,23.280001,23.34,20400,23.153086
2016-04-25,23.08,23.280001,23.054001,23.280001,15700,23.093567
2016-04-22,22.870001,23.125999,22.870001,23.10,37200,22.915009
2016-04-21,23.26,23.33,22.82,22.889999,52400,22.706689
2016-04-20,23.50,23.50,23.25,23.26,22500,23.073727
2016-04-19,23.60,23.610001,23.440001,23.57,28200,23.381244
2016-04-18,23.50,23.57,23.41,23.541,34800,23.352477
2016-04-15,23.360001,23.549999,23.299999,23.472,29000,23.284029
2016-04-14,23.389,23.41,23.27,23.299999,20300,23.113406
2016-04-13,23.60,23.60,23.375,23.469999,22900,23.282044
2016-04-12,23.48,23.559999,23.379999,23.459999,20800,23.272124
2016-04-11,23.48,23.48,23.33,23.370001,23000,23.182847
2016-04-08,23.34,23.459999,23.32,23.346001,85200,23.159039
2016-04-07,23.34,23.34,23.120001,23.16,86400,22.974528
2016-04-06,23.42,23.42,23.15,23.349001,59600,23.162015
2016-04-05,23.360001,23.370001,23.254,23.27,16800,23.083647
2016-04-04,23.65,23.65,23.370001,23.450001,43200,23.262206
2016-04-01,23.68,23.68,23.327999,23.50,138000,23.311805
2016-03-31,23.35,23.49,23.299999,23.450001,34300,23.262206
2016-03-30,23.440001,23.469999,23.33,23.379999,38800,23.192765
2016-03-29,22.959999,23.35,22.90,23.34,27400,23.153086
2016-03-28,22.790001,22.940001,22.68,22.895,27700,22.71165
2016-03-24,22.780001,22.780001,22.540001,22.73,21300,22.547971
2016-03-23,22.83,22.85,22.719999,22.724001,18100,22.54202
2016-03-22,22.73,22.92,22.719999,22.84,11600,22.657091
2016-03-21,23.07,23.10,22.802,22.837,26300,22.654114
2016-03-18,23.16,23.16,23.01,23.01,38300,22.825729
2016-03-17,23.030001,23.389999,22.969999,23.309999,37400,23.123326
2016-03-16,22.790001,23.049999,22.65,22.996,13800,22.811841
2016-03-15,22.82,22.84,22.639999,22.747999,16800,22.565826
2016-03-14,22.809999,22.809999,22.620001,22.77,32600,22.587651
2016-03-11,22.49,22.75,22.41,22.75,23900,22.567811
2016-03-10,22.27,22.458,22.030001,22.26,17200,22.081735
2016-03-09,22.299999,22.389999,22.264999,22.290001,9900,22.111496
2016-03-08,22.48,22.48,22.25,22.27,23500,22.091656
2016-03-07,22.379999,22.50,22.32,22.43,16100,22.250374
2016-03-04,22.34,22.450001,22.280001,22.378,15400,22.19879
2016-03-03,22.290001,22.389999,22.158001,22.389999,29000,22.210694
2016-03-02,22.040001,22.249001,22.02,22.209999,63700,22.032135
2016-03-01,21.709999,22.02,21.709999,22.02,24200,21.843658
2016-02-29,21.639999,21.799999,21.549999,21.549999,24100,21.37742
2016-02-26,21.719999,21.75,21.60,21.67,7600,21.49646
2016-02-25,21.41,21.67,21.41,21.66,67900,21.48654
2016-02-24,21.209999,21.33,21.031,21.27,12100,21.099664
2016-02-23,21.370001,21.469,21.24,21.242001,15300,21.071888
