Date,Open,High,Low,Close,Volume,Adj Close
2016-05-25,112.279999,112.730003,112.220001,112.449997,38800,111.80406
2016-05-24,111.059998,112.379997,111.059998,112.239998,57000,111.595267
2016-05-23,110.889999,111.050003,110.739998,110.760002,33800,110.123772
2016-05-20,111.150002,111.300003,110.639999,110.760002,33600,110.123772
2016-05-19,110.239998,110.959999,109.949997,110.900002,38000,110.262968
2016-05-18,111.230003,111.529999,110.029999,110.699997,86600,110.064112
2016-05-17,113.040001,113.040001,111.220001,111.529999,152200,110.889346
2016-05-16,112.809998,113.510002,112.650002,113.279999,30800,112.629294
2016-05-13,113.739998,113.940002,112.510002,112.709999,101900,112.062568
2016-05-12,113.790001,114.199997,113.349998,113.889999,39500,113.23579
2016-05-11,114.019997,114.269997,113.309998,113.360001,51800,112.708836
2016-05-10,113.209999,114.400002,113.209999,114.400002,73800,113.742863
2016-05-09,112.980003,113.440002,112.82,112.989998,33500,112.340959
2016-05-06,111.709999,112.82,111.709999,112.760002,56300,112.112284
2016-05-05,112.120003,112.589996,111.709999,111.919998,32300,111.277105
2016-05-04,111.739998,112.389999,111.540001,112.139999,260000,111.495843
2016-05-03,112.349998,112.720001,111.940002,112.279999,190800,111.635038
2016-05-02,112.139999,113.120003,112.139999,112.940002,616900,112.29125
2016-04-29,111.93,112.169998,111.220001,111.970001,44100,111.326821
2016-04-28,111.720001,112.790001,111.720001,111.919998,76200,111.277105
2016-04-27,112.00,112.370003,111.32,112.129997,34400,111.485898
2016-04-26,111.870003,112.25,111.550003,111.82,24300,111.177681
2016-04-25,111.199997,111.860001,111.099998,111.75,126300,111.108084
2016-04-22,110.860001,111.489998,110.550003,111.489998,28600,110.849575
2016-04-21,112.480003,112.480003,111.00,111.00,43700,110.362392
2016-04-20,113.029999,113.029999,112.25,112.269997,36200,111.625093
2016-04-19,113.309998,113.43,113.129997,113.43,38200,112.778434
2016-04-18,112.589996,113.339996,112.529999,113.230003,29600,112.579585
2016-04-15,112.260002,112.639999,112.150002,112.629997,22400,111.983026
2016-04-14,112.629997,112.800003,112.110001,112.110001,29100,111.466016
2016-04-13,112.800003,113.080002,112.099998,112.580002,73500,111.933318
2016-04-12,111.940002,112.669998,111.830002,112.540001,33000,111.893547
2016-04-11,112.739998,113.059998,111.82,111.82,45000,111.177681
2016-04-08,112.440002,112.790001,112.260002,112.50,33900,111.853775
2016-04-07,112.720001,112.809998,111.620003,112.150002,49400,111.505787
2016-04-06,112.190002,113.07,111.949997,113.029999,188100,112.38073
2016-04-05,112.220001,112.449997,111.889999,112.169998,206100,111.525669
2016-04-04,113.459999,113.459999,112.43,112.769997,88900,112.122221
2016-04-01,111.989998,113.519997,111.959999,113.519997,810300,112.867913
2016-03-31,112.660004,112.879997,112.440002,112.540001,49900,111.893547
2016-03-30,112.690002,112.919998,112.580002,112.68,92700,112.032742
2016-03-29,111.220001,112.260002,111.199997,112.260002,26000,111.615156
2016-03-28,110.989998,111.449997,110.919998,111.099998,24500,110.461816
2016-03-24,110.370003,110.690002,109.730003,110.68,28900,110.04423
2016-03-23,110.879997,111.419998,110.800003,110.82,24400,110.183425
2016-03-22,112.489998,112.489998,111.790001,111.889999,28400,110.666635
2016-03-21,112.400002,113.019997,112.400002,112.709999,43700,111.477669
2016-03-18,112.910004,112.910004,112.410004,112.540001,101600,111.309529
2016-03-17,111.360001,112.790001,111.360001,112.68,132700,111.447998
2016-03-16,110.510002,111.580002,110.410004,111.540001,40100,110.320463
2016-03-15,110.389999,111.00,110.360001,111.00,34500,109.786366
2016-03-14,110.720001,111.029999,110.620003,110.970001,29100,109.756695
2016-03-11,110.660004,111.019997,110.489998,110.970001,88100,109.756695
2016-03-10,110.330002,110.550003,109.080002,110.099998,49100,108.896205
2016-03-09,109.790001,110.00,109.470001,109.919998,32200,108.718173
2016-03-08,109.290001,109.900002,109.080002,109.290001,24400,108.095064
2016-03-07,110.040001,110.160004,109.470001,109.669998,107900,108.470906
2016-03-04,109.650002,110.629997,109.620003,110.410004,34200,109.202821
2016-03-03,108.839996,109.849998,108.650002,109.839996,26100,108.639046
2016-03-02,108.220001,108.879997,107.849998,108.879997,23200,107.689543
2016-03-01,107.769997,108.589996,107.720001,108.510002,770800,107.323593
2016-02-29,107.440002,108.029999,106.93,106.989998,40400,105.820208
2016-02-26,108.660004,108.660004,107.25,107.449997,43900,106.275178
2016-02-25,106.910004,108.339996,106.910004,108.339996,36700,107.155446
2016-02-24,105.690002,106.800003,105.099998,106.730003,27000,105.563056
2016-02-23,106.519997,106.879997,106.379997,106.480003,36300,105.31579
2016-02-22,106.330002,106.940002,106.32,106.830002,25700,105.661961
2016-02-19,105.330002,105.720001,104.809998,105.720001,70400,104.564097
2016-02-18,105.970001,106.010002,105.370003,105.760002,64100,104.603661
2016-02-17,104.989998,106.150002,104.949997,105.93,32600,104.7718
2016-02-16,104.080002,104.519997,103.529999,104.510002,34600,103.367328
2016-02-12,102.230003,103.099998,102.089996,103.059998,31500,101.933177
2016-02-11,101.559998,101.989998,100.889999,101.510002,97900,100.400129
2016-02-10,103.32,103.809998,102.699997,102.800003,31200,101.676025
2016-02-09,101.470001,103.330002,101.43,102.769997,36500,101.646347
2016-02-08,102.120003,102.550003,101.25,102.260002,36100,101.141928
2016-02-05,103.879997,104.029999,102.68,102.970001,70900,101.844165
2016-02-04,104.349998,104.50,103.519997,103.919998,32300,102.783775
2016-02-03,105.209999,105.349998,103.629997,104.839996,68400,103.693714
2016-02-02,105.75,105.75,104.68,104.970001,153400,103.822297
2016-02-01,105.660004,106.739998,105.580002,106.379997,58900,105.216877
2016-01-29,104.32,106.300003,104.32,106.300003,115200,105.137757
2016-01-28,103.769997,104.440002,103.290001,104.230003,32300,103.09039
2016-01-27,103.419998,104.470001,102.470001,103.089996,50000,101.962848
2016-01-26,102.580002,103.839996,102.580002,103.529999,55600,102.398039
2016-01-25,102.629997,103.010002,102.050003,102.150002,1136100,101.03313
2016-01-22,102.639999,103.129997,102.300003,103.080002,19600,101.952962
2016-01-21,101.040001,102.040001,100.480003,101.489998,42500,100.380343
2016-01-20,100.489998,101.370003,98.540001,100.779999,276300,99.678107
2016-01-19,101.93,102.150002,100.989998,101.860001,147400,100.7463
2016-01-15,100.300003,101.199997,99.510002,100.900002,53000,99.796797
2016-01-14,102.610001,103.220001,101.620003,102.470001,33800,101.349631
2016-01-13,104.739998,104.809998,102.290001,102.440002,23900,101.319961
2016-01-12,104.68,104.980003,103.540001,104.410004,64000,103.268423
2016-01-11,103.480003,104.059998,102.660004,103.75,134000,102.615635
2016-01-08,104.790001,104.790001,102.839996,103.050003,41700,101.923292
2016-01-07,104.620003,105.470001,103.860001,104.00,96800,102.862902
2016-01-06,105.690002,106.470001,105.68,106.110001,18200,104.949832
2016-01-05,107.00,107.389999,106.449997,107.110001,43800,105.938899
2016-01-04,106.830002,106.830002,105.800003,106.730003,98200,105.563056
